sector;time_series_id;strategy_id;type;parameter;normalize_group;parameter_constant_q;min_2050;max_2050;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Analytica_forestry;0;0;accion;Incendio_Bosque_Nativo;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;1;accion;Incendio_Bosque_Nativo;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;0;accion;Incendio_Plantaciones_Forestales;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;1;accion;Incendio_Plantaciones_Forestales;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;0;incertidumbre;Incertidumbre Incendio BN;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;1;incertidumbre;Incertidumbre Incendio BN;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;0;incertidumbre;Incertidumbre Incendio Plantaciones;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;1;incertidumbre;Incertidumbre Incendio Plantaciones;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;0;accion;Recuperacion_BN;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;1;accion;Recuperacion_BN;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;0;accion;Sustitucion_y_degradacion;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;1;accion;Sustitucion_y_degradacion;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;0;accion;Tierras_Convertidas_a_BN;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;1;accion;Tierras_Convertidas_a_BN;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;0;accion;Tierras_Convertidas_a_plantaciones;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;1;accion;Tierras_Convertidas_a_plantaciones;;1;0.8;1.2;0;0;0;0;0;0;0;0;0.725;0.825;0.925;1.025;1.225;1.325;1.425;1.525;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Analytica_forestry;0;0;parametro;Var_Demanda_Leña_2019;;1;0.2;1.2;1;1;1;1;1;0.953824029;0.967568551;0.971546621;0.972196597;0.969425001;0.963602011;0.956012883;0.946925157;0.936620902;0.925327659;0.913167923;0.900154656;0.886108959;0.870746561;0.853792611;0.835062894;0.815303341;0.794182202;0.772446255;0.750825128;0.730396242;0.712108685;0.696649408;0.684416433;0.675577663;0.670190597;0.66840942;0.670955577;0.679403818;0.698224835;0.743467333
Analytica_forestry;0;1;parametro;Var_Demanda_Leña_2019;;1;0.2;1.2;1;1;1;1;1;0.953824029;0.967568551;0.971546621;0.972196597;0.969425001;0.963602011;0.956012883;0.946925157;0.936620902;0.925327659;0.913167923;0.900154656;0.886108959;0.870746561;0.853792611;0.835062894;0.815303341;0.794182202;0.772446255;0.750825128;0.730396242;0.712108685;0.696649408;0.684416433;0.675577663;0.670190597;0.66840942;0.670955577;0.679403818;0.698224835;0.743467333
