Escenario,Escenario_Hidrologico
0,28
1,26
2,12
3,14
4,15
5,42
6,13
7,17
8,52
9,54
10,11
11,28
12,26
13,12
14,14
15,15
16,42
17,13
18,17
19,52
20,54
21,11
44,28
45,26
46,12
47,14
48,15
49,42
50,13
51,17
52,52
53,54
54,11
55,28
56,26
57,12
58,14
59,15
60,42
61,13
62,17
63,52
64,54
65,11
22,28
23,26
24,12
25,14
26,15
27,42
28,13
29,17
30,52
31,54
32,11
33,28
34,26
35,12
36,14
37,15
38,42
39,13
40,17
41,52
42,54
43,11
66,28
67,26
68,12
69,14
70,15
71,42
72,13
73,17
74,52
75,54
76,11
77,28
78,26
79,12
80,14
81,15
82,42
83,13
84,17
85,52
86,54
87,11
