agno,recaudacion_generacion,recaudacion_otros_sectores
2017        ,      160.81,        0.00
2018        ,      170.71,        0.00
2019        ,      165.43,        0.00
2020        ,      181.21,        0.00
2021        ,      147.37,        0.00
2022        ,      167.26,        0.00
2023        ,      181.65,        0.00
2024        ,      155.89,        0.00
2025        ,      146.35,        0.00
2026        ,      139.15,        0.00
2027        ,      133.00,        0.00
2028        ,      134.88,        0.00
2029        ,      127.42,        0.00
2030        ,      118.59,        0.00
2031        ,       99.59,        0.00
2032        ,       96.50,        0.00
2033        ,       94.59,        0.00
2034        ,       88.28,        0.00
2035        ,       84.80,        0.00
2036        ,       79.56,        0.00
2037        ,       75.69,        0.00
2038        ,       65.42,        0.00
2039        ,       54.45,        0.00
2040        ,       28.03,        0.00
2041        ,       14.03,        0.00
2042        ,       14.41,        0.00
2043        ,       13.89,        0.00
2044        ,       13.83,        0.00
2045        ,       13.92,        0.00
2046        ,       13.34,        0.00
2047        ,       13.43,        0.00
2048        ,       13.30,        0.00
2049        ,       13.05,        0.00
2050        ,       13.04,        0.00
